Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,60,AUSTRALIA,-39.6,23.76,Prefer not to say,32
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,79,ITALY,-19.8,11.88,Prefer not to say,41
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,47,UNITED STATES,-39.6,23.76,Prefer not to say,32
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,57,THAILAND,-19.8,11.88,Prefer not to say,44
JZI,Airlines,Online,Basic Plan,No,1,MALAYSIA,-18,6.3,M,47
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,39,VIET NAM,-25,0,Prefer not to say,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,6,DENMARK,-19.8,11.88,Prefer not to say,53
JZI,Airlines,Online,Basic Plan,No,3,MALAYSIA,-18,6.3,M,47
C2B,Airlines,Online,Bronze Plan,No,12,SINGAPORE,46.15,11.54,F,44
C2B,Airlines,Online,Bronze Plan,No,7,SINGAPORE,17.55,4.39,F,25
C2B,Airlines,Online,Bronze Plan,Yes,12,SINGAPORE,94,23.5,M,34
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,29,UNITED STATES,9.9,5.94,Prefer not to say,33
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,28,UNITED STATES,9.9,5.94,Prefer not to say,33
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,28,UNITED KINGDOM,19.8,11.88,Prefer not to say,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9,INDONESIA,25,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,12,MALAYSIA,24,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,45,MALAYSIA,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,35,INDIA,27,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,28,THAILAND,20,0,Prefer not to say,44
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,24,CHINA,43,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8,FRANCE,78,0,Prefer not to say,36
